epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,4687.23,0.58964,0.42634,0.98535,0.99759,1,0.995,0.87973,0.46369,0.30588,0.83697,0.000198206,0.000198206,0.000198206
91,4741.85,0.48171,0.36458,0.88558,0.99747,1,0.995,0.87958,0.46806,0.30919,0.84025,0.000181703,0.000181703,0.000181703
92,4795.35,0.48098,0.86616,0.87509,0.99727,1,0.995,0.88437,0.45657,0.3044,0.8344,0.0001652,0.0001652,0.0001652
93,4850.33,0.48199,0.38715,0.88172,0.99754,1,0.995,0.88501,0.45479,0.31865,0.83201,0.000148696,0.000148696,0.000148696
94,4906.01,0.47292,0.37137,0.88801,0.99739,1,0.995,0.89085,0.44537,0.30939,0.82931,0.000132193,0.000132193,0.000132193
95,4960.52,0.46783,0.37272,0.88674,0.99736,1,0.995,0.89123,0.44773,0.30154,0.83063,0.00011569,0.00011569,0.00011569
96,5016.2,0.47208,0.35335,0.88573,0.99749,1,0.995,0.89084,0.45016,0.29802,0.83114,9.91865e-05,9.91865e-05,9.91865e-05
97,5071.22,0.45996,0.35247,0.88437,0.99783,1,0.995,0.89125,0.44835,0.29189,0.83064,8.26832e-05,8.26832e-05,8.26832e-05
98,5126.12,0.46847,0.34237,0.87718,0.99795,1,0.995,0.88898,0.44386,0.2892,0.82901,6.61799e-05,6.61799e-05,6.61799e-05
99,5179.76,0.46602,0.34025,0.8879,0.99816,1,0.995,0.89763,0.44062,0.28844,0.82752,4.96766e-05,4.96766e-05,4.96766e-05
100,5234.02,0.448,0.35,0.87953,0.99822,1,0.995,0.89563,0.43474,0.28583,0.82608,3.31733e-05,3.31733e-05,3.31733e-05
